date,open,high,low,close,volume
2021-11-16,2.79,2.8,2.73,2.73,13597403.0
2021-11-17,2.73,2.78,2.69,2.77,17322600.0
2021-11-18,2.8,2.92,2.79,2.83,34482343.0
2021-11-19,2.82,2.84,2.73,2.84,19488318.0
2021-11-22,2.82,2.91,2.81,2.9,23086581.0
2021-11-23,2.88,2.94,2.86,2.9,21219677.0
2021-11-24,2.91,2.94,2.87,2.93,22809800.0
2021-11-25,2.93,2.93,2.86,2.87,13574085.0
2021-11-26,2.84,2.86,2.8,2.83,12727130.0
2021-11-29,2.77,2.86,2.74,2.82,10585500.0
2021-11-30,2.83,2.89,2.82,2.86,14363144.0
2021-12-01,2.86,2.91,2.84,2.9,13225266.0
2021-12-02,2.89,2.91,2.86,2.87,10107400.0
2021-12-03,2.86,2.95,2.82,2.9,21945603.0
2021-12-06,2.88,2.94,2.86,2.86,18988100.0
2021-12-07,2.87,2.92,2.83,2.89,15527701.0
2021-12-08,2.89,2.9,2.85,2.88,10642801.0
2021-12-09,2.88,2.89,2.85,2.88,11497848.0
2021-12-10,2.88,2.89,2.85,2.85,11732100.0
2021-12-13,2.87,2.89,2.85,2.86,10937201.0
2021-12-14,2.86,2.87,2.82,2.83,10986101.0
2021-12-15,2.83,2.89,2.83,2.87,14563800.0
2021-12-16,2.88,3.02,2.87,3.0,52204502.0
2021-12-17,2.99,3.02,2.94,2.99,29113477.0
2021-12-20,2.99,3.03,2.91,2.93,18416400.0
2021-12-21,2.9,3.05,2.9,3.05,35291033.0
2021-12-22,3.05,3.06,2.99,3.01,20442338.0
2021-12-23,3.01,3.05,2.98,3.01,20484950.0
2021-12-24,2.98,2.99,2.91,2.92,21449350.0
2021-12-27,2.91,2.97,2.9,2.94,12953001.0
2021-12-28,2.93,2.94,2.87,2.89,14894831.0
2021-12-29,2.9,2.92,2.88,2.9,11116969.0
2021-12-30,2.89,2.93,2.87,2.91,13197500.0
2021-12-31,2.91,2.91,2.87,2.88,11483589.0
2022-01-04,2.96,3.12,2.96,3.06,55829440.0
2022-01-05,3.03,3.05,2.96,2.99,28356000.0
2022-01-06,2.98,3.11,2.97,3.05,31132232.0
2022-01-07,3.04,3.11,3.01,3.02,25138484.0
2022-01-10,3.06,3.06,2.99,3.04,19265200.0
2022-01-11,3.0,3.04,2.98,3.01,14127400.0
2022-01-12,3.03,3.03,2.99,3.02,12471700.0
2022-01-13,3.02,3.08,3.01,3.03,22204510.0
2022-01-14,3.02,3.02,2.9,2.9,24195700.0
2022-01-17,2.9,2.94,2.89,2.93,12868802.0
2022-01-18,2.95,2.95,2.88,2.91,12861320.0
2022-01-19,2.95,3.01,2.92,2.93,23047077.0
2022-01-20,2.92,2.95,2.84,2.85,23679057.0
2022-01-21,2.94,3.14,2.93,3.14,108000117.0
2022-01-24,3.14,3.24,3.0,3.09,104962585.0
2022-01-25,3.08,3.09,2.91,2.92,47096100.0
2022-01-26,2.92,2.95,2.79,2.84,38694101.0
2022-01-27,2.85,2.92,2.8,2.8,30918900.0
2022-01-28,2.78,2.83,2.69,2.79,30763928.0
2022-02-07,2.81,2.93,2.81,2.9,35049350.0
2022-02-08,3.13,3.19,3.13,3.19,55012469.0
2022-02-09,3.18,3.28,3.09,3.15,101648664.0
2022-02-10,3.15,3.23,3.04,3.22,67332700.0
2022-02-11,3.2,3.45,3.16,3.25,92182902.0
2022-02-14,3.2,3.3,3.14,3.22,52631795.0
2022-02-15,3.16,3.21,3.14,3.16,35370200.0
2022-02-16,3.14,3.25,3.13,3.23,31570500.0
2022-02-17,3.19,3.28,3.17,3.18,27131600.0
2022-02-18,3.18,3.5,3.17,3.5,59536073.0
2022-02-21,3.5,3.64,3.37,3.54,105637229.0
2022-02-22,3.5,3.73,3.47,3.57,84134620.0
2022-02-23,3.47,3.51,3.38,3.45,54821400.0
2022-02-24,3.4,3.45,3.23,3.3,54732800.0
2022-02-25,3.3,3.41,3.17,3.24,41508100.0
2022-02-28,3.25,3.37,3.23,3.37,45677700.0
2022-03-01,3.34,3.45,3.3,3.41,36720242.0
2022-03-02,3.43,3.49,3.37,3.46,46183316.0
2022-03-03,3.43,3.76,3.41,3.57,82721196.0
2022-03-04,3.53,3.83,3.45,3.56,86026982.0
2022-03-07,3.65,3.74,3.5,3.52,64130151.0
2022-03-08,3.5,3.54,3.38,3.43,44766500.0
2022-03-09,3.42,3.57,3.32,3.49,55491654.0
2022-03-10,3.4,3.54,3.34,3.46,39368031.0
2022-03-11,3.4,3.49,3.33,3.41,33327000.0
2022-03-14,3.34,3.44,3.26,3.28,44584900.0
2022-03-15,3.27,3.28,3.05,3.09,42576531.0
2022-03-16,3.13,3.28,3.04,3.24,29538497.0
2022-03-17,3.25,3.35,3.18,3.32,31625197.0
2022-03-18,3.3,3.64,3.29,3.5,46231497.0
2022-03-21,3.5,3.56,3.46,3.53,29889600.0
2022-03-22,3.54,3.6,3.48,3.58,29864576.0
2022-03-23,3.56,3.62,3.45,3.51,26748975.0
2022-03-24,3.53,3.57,3.46,3.47,23418600.0
2022-03-25,3.47,3.73,3.44,3.58,43868035.0
2022-03-28,3.63,3.64,3.5,3.6,33104800.0
2022-03-29,3.51,3.61,3.46,3.57,29508200.0
2022-03-30,3.6,3.74,3.5,3.59,33564100.0
2022-03-31,3.57,3.72,3.51,3.71,52543400.0
2022-04-01,3.67,4.08,3.65,3.88,95088097.0
2022-04-06,3.85,3.86,3.69,3.78,60228297.0
2022-04-07,3.75,3.82,3.68,3.69,45943600.0
2022-04-08,3.69,3.86,3.65,3.74,42568600.0
2022-04-11,3.7,3.78,3.6,3.63,39814922.0
2022-04-12,3.67,3.85,3.65,3.77,37223950.0
2022-04-13,3.71,4.15,3.71,4.15,77734978.0
2022-04-14,4.26,4.57,4.1,4.57,138642542.0
2022-04-15,5.03,5.03,4.26,4.32,254827996.0
2022-04-18,3.9,4.06,3.89,3.89,158204505.0
2022-04-19,3.79,3.91,3.6,3.84,161715922.0
2022-04-20,3.73,4.04,3.72,3.86,131076607.0
2022-04-21,3.79,4.18,3.75,3.93,147624429.0
2022-04-22,3.79,3.87,3.54,3.54,133606606.0
2022-04-25,3.41,3.42,3.19,3.19,109064804.0
2022-04-26,3.14,3.25,2.94,2.98,86357797.0
2022-04-27,2.77,2.98,2.68,2.91,107454835.0
2022-04-28,2.83,3.02,2.76,2.87,89298602.0
2022-04-29,2.88,2.95,2.78,2.94,72233099.0
2022-05-05,2.92,3.05,2.9,2.94,71148401.0
2022-05-06,2.85,2.92,2.78,2.83,51481722.0
2022-05-09,2.76,2.87,2.74,2.85,43283322.0
2022-05-10,2.81,2.85,2.7,2.84,51235368.0
2022-05-11,2.81,2.9,2.81,2.84,47560946.0
2022-05-12,2.84,2.89,2.75,2.8,45554922.0
2022-05-13,2.78,2.86,2.77,2.83,37326202.0
2022-05-16,2.85,3.0,2.83,2.98,72755040.0
2022-05-17,2.97,2.99,2.87,2.92,50201800.0
2022-05-18,2.88,2.94,2.85,2.92,42826522.0
2022-05-19,2.86,2.91,2.82,2.9,32741800.0
2022-05-20,2.9,3.02,2.89,3.01,61310232.0
2022-05-23,3.07,3.31,3.01,3.23,110282961.0
2022-05-24,3.23,3.32,3.07,3.08,112788502.0
2022-05-25,3.09,3.16,3.03,3.13,63148362.0
2022-05-26,3.14,3.29,3.14,3.27,84113862.0
2022-05-27,3.28,3.4,3.19,3.36,91352600.0
2022-05-30,3.36,3.41,3.23,3.3,59265000.0
2022-05-31,3.27,3.34,3.2,3.26,48263600.0
2022-06-01,3.28,3.59,3.23,3.47,101086447.0
2022-06-02,3.44,3.47,3.29,3.32,83631300.0
2022-06-06,3.33,3.39,3.28,3.38,62414694.0
2022-06-07,3.38,3.38,3.26,3.3,46438800.0
2022-06-08,3.32,3.63,3.32,3.63,144403641.0
2022-06-09,3.75,3.99,3.55,3.99,217726400.0
2022-06-10,3.84,4.16,3.75,3.86,179488700.0
2022-06-13,3.75,3.85,3.67,3.75,119585905.0
2022-06-14,3.66,4.05,3.66,3.92,134528001.0
2022-06-15,3.84,3.9,3.75,3.76,93472239.0
2022-06-16,3.7,3.76,3.5,3.56,84450801.0
2022-06-17,3.56,3.69,3.54,3.58,54459402.0
2022-06-20,3.48,3.5,3.36,3.4,59467358.0
2022-06-21,3.38,3.48,3.38,3.41,43283947.0
2022-06-22,3.41,3.47,3.37,3.39,39432950.0
2022-06-23,3.32,3.43,3.31,3.43,35483999.0
2022-06-24,3.41,3.44,3.36,3.36,30531700.0
2022-06-27,3.35,3.49,3.33,3.48,48092493.0
2022-06-28,3.47,3.54,3.45,3.5,42393500.0
2022-06-29,3.47,3.52,3.36,3.36,39503693.0
2022-06-30,3.33,3.38,3.31,3.33,26173930.0
2022-07-01,3.33,3.34,3.17,3.31,33189479.0
2022-07-04,3.28,3.38,3.26,3.34,19153600.0
2022-07-05,3.36,3.48,3.34,3.45,44738000.0
2022-07-06,3.38,3.39,3.25,3.28,32191300.0
2022-07-07,3.27,3.32,3.23,3.28,17024401.0
2022-07-08,3.3,3.33,3.25,3.28,18002300.0
2022-07-11,3.25,3.25,3.19,3.22,16011700.0
2022-07-12,3.25,3.27,3.2,3.22,11775300.0
2022-07-13,3.2,3.34,3.17,3.3,24814700.0
2022-07-14,3.23,3.28,3.21,3.25,22762900.0
2022-07-15,3.23,3.29,3.18,3.19,18618300.0
2022-07-18,3.21,3.31,3.2,3.31,30264631.0
2022-07-19,3.32,3.49,3.28,3.4,49816369.0
2022-07-20,3.43,3.43,3.33,3.35,19923002.0
2022-07-21,3.34,3.35,3.25,3.27,18536200.0
2022-07-22,3.27,3.29,3.23,3.25,11937800.0
2022-07-25,3.26,3.28,3.22,3.24,8909860.0
2022-07-26,3.23,3.27,3.2,3.25,14531500.0
2022-07-27,3.25,3.25,3.21,3.22,11551300.0
2022-07-28,3.26,3.32,3.23,3.31,28567501.0
2022-07-29,3.32,3.32,3.21,3.22,21996300.0
2022-08-01,3.22,3.24,3.2,3.21,9524500.0
2022-08-02,3.22,3.22,2.97,3.01,21544800.0
2022-08-03,3.02,3.1,3.0,3.0,11978179.0
2022-08-04,3.01,3.06,2.95,3.05,11688924.0
2022-08-05,3.04,3.07,3.0,3.06,8263200.0
2022-08-08,3.05,3.12,3.04,3.12,11055402.0
2022-08-09,3.1,3.19,3.09,3.16,18718958.0
2022-08-10,3.14,3.16,3.09,3.11,13882502.0
2022-08-11,3.12,3.15,3.1,3.13,9796600.0
2022-08-12,3.13,3.2,3.12,3.17,16216122.0
2022-08-15,3.17,3.27,3.17,3.23,20211077.0
2022-08-16,3.23,3.29,3.18,3.28,25877441.0
2022-08-17,3.29,3.33,3.26,3.29,21751402.0
2022-08-18,3.29,3.33,3.22,3.25,16860600.0
2022-08-19,3.28,3.33,3.25,3.29,21987501.0
2022-08-22,3.31,3.39,3.28,3.39,32743256.0
2022-08-23,3.38,3.47,3.33,3.45,30799500.0
2022-08-24,3.45,3.49,3.37,3.4,33090903.0
2022-08-25,3.42,3.51,3.38,3.5,49750100.0
2022-08-26,3.46,3.48,3.35,3.39,37554200.0
2022-08-29,3.32,3.49,3.29,3.47,37094786.0
