date,open,high,low,close,volume
2021-11-16,6.2,6.24,6.08,6.11,12669949.0
2021-11-17,6.1,6.18,6.08,6.15,9711674.0
2021-11-18,6.21,6.31,6.2,6.21,18845588.0
2021-11-19,6.24,6.31,6.1,6.29,14172285.0
2021-11-22,6.34,6.38,6.27,6.3,14194694.0
2021-11-23,6.32,6.44,6.28,6.38,16819385.0
2021-11-24,6.44,6.48,6.33,6.46,16437349.0
2021-11-25,6.48,6.5,6.35,6.36,13385357.0
2021-11-26,6.28,6.32,6.23,6.25,11212117.0
2021-11-29,6.15,6.28,6.11,6.26,10431372.0
2021-11-30,6.28,6.35,6.2,6.25,9075383.0
2021-12-01,6.25,6.42,6.23,6.39,10006618.0
2021-12-02,6.35,6.41,6.31,6.35,8477853.0
2021-12-03,6.37,6.58,6.26,6.52,21786585.0
2021-12-06,6.47,6.65,6.46,6.48,18460697.0
2021-12-07,6.54,6.62,6.46,6.56,15123869.0
2021-12-08,6.54,6.57,6.48,6.55,10408643.0
2021-12-09,6.56,6.59,6.51,6.52,12715610.0
2021-12-10,6.5,6.55,6.43,6.45,14410006.0
2021-12-13,6.49,6.55,6.47,6.54,12099631.0
2021-12-14,6.5,6.52,6.39,6.42,11607421.0
2021-12-15,6.42,6.54,6.4,6.45,12365596.0
2021-12-16,6.5,6.88,6.5,6.87,44946160.0
2021-12-17,6.81,6.91,6.68,6.69,32939861.0
2021-12-20,6.7,6.75,6.51,6.52,17142930.0
2021-12-21,6.48,6.73,6.48,6.71,17806801.0
2021-12-22,6.69,6.69,6.6,6.67,11834018.0
2021-12-23,6.64,6.8,6.64,6.77,15885099.0
2021-12-24,6.77,6.79,6.64,6.65,14303519.0
2021-12-27,6.62,6.76,6.56,6.61,11190640.0
2021-12-28,6.6,6.63,6.42,6.46,15394396.0
2021-12-29,6.47,6.57,6.46,6.49,8396261.0
2021-12-30,6.47,6.54,6.44,6.47,8268692.0
2021-12-31,6.46,6.51,6.45,6.46,8116270.0
2022-01-04,6.66,6.82,6.6,6.69,33999693.0
2022-01-05,6.67,6.67,6.52,6.55,16834378.0
2022-01-06,6.53,6.63,6.53,6.56,13684794.0
2022-01-07,6.57,6.66,6.55,6.6,16414267.0
2022-01-10,6.6,6.69,6.59,6.68,26894252.0
2022-01-11,6.62,6.68,6.6,6.64,17298679.0
2022-01-12,6.66,6.68,6.52,6.6,18103032.0
2022-01-13,6.62,6.78,6.6,6.66,36260536.0
2022-01-14,6.6,6.6,6.35,6.37,31179013.0
2022-01-17,6.4,6.5,6.3,6.48,14423965.0
2022-01-18,6.52,6.63,6.43,6.6,20566980.0
2022-01-19,6.67,6.83,6.61,6.65,24959751.0
2022-01-20,6.63,6.67,6.54,6.55,14150360.0
2022-01-21,6.64,6.75,6.57,6.74,30444845.0
2022-01-24,6.73,6.73,6.5,6.66,23124642.0
2022-01-25,6.59,6.59,6.21,6.23,24445945.0
2022-01-26,6.38,6.54,6.25,6.42,21232831.0
2022-01-27,6.45,6.56,6.33,6.36,18183627.0
2022-01-28,6.38,6.45,6.13,6.19,19284494.0
2022-02-07,6.3,6.54,6.28,6.51,21882036.0
2022-02-08,6.69,6.76,6.58,6.75,30743341.0
2022-02-09,6.72,6.84,6.65,6.75,24184635.0
2022-02-10,6.66,6.86,6.64,6.85,23739238.0
2022-02-11,6.8,6.99,6.77,6.87,34357197.0
2022-02-14,6.85,6.95,6.78,6.83,24423461.0
