date,open,high,low,close,volume
2021-11-16,2.9,2.93,2.86,2.86,23637251.0
2021-11-17,2.86,2.89,2.85,2.88,16923616.0
2021-11-18,2.9,2.95,2.9,2.91,43711511.0
2021-11-19,2.94,2.99,2.91,2.97,46181173.0
2021-11-22,2.99,3.01,2.94,2.96,33307464.0
2021-11-23,2.96,3.02,2.94,2.98,43335600.0
2021-11-24,3.0,3.03,2.97,3.02,40553949.0
2021-11-25,3.03,3.07,2.98,2.99,30617073.0
2021-11-26,2.95,2.96,2.92,2.93,26821038.0
2021-11-29,2.87,2.91,2.86,2.89,27081275.0
2021-11-30,2.9,2.94,2.88,2.91,22722436.0
2021-12-01,2.91,2.97,2.9,2.97,27674059.0
2021-12-02,2.96,2.98,2.93,2.94,21422504.0
2021-12-03,2.93,3.07,2.91,3.02,53717458.0
2021-12-06,3.02,3.06,2.99,3.01,45629725.0
2021-12-07,3.02,3.05,2.97,3.04,38079119.0
2021-12-08,3.04,3.04,3.0,3.02,26427594.0
2021-12-09,3.01,3.04,3.0,3.03,27744553.0
2021-12-10,3.02,3.07,3.0,3.01,33332685.0
2021-12-13,3.02,3.04,3.01,3.03,25286654.0
2021-12-14,3.01,3.02,2.97,2.99,30090957.0
2021-12-15,2.97,3.04,2.97,3.02,41178515.0
2021-12-16,3.16,3.32,3.16,3.32,84175543.0
2021-12-17,3.65,3.65,3.65,3.65,69454631.0
2021-12-20,3.65,3.65,3.4,3.42,235664982.0
2021-12-21,3.39,3.76,3.39,3.76,150314441.0
2021-12-22,3.69,3.69,3.44,3.55,196817646.0
2021-12-23,3.48,3.88,3.46,3.72,210296892.0
2021-12-24,3.66,3.82,3.58,3.6,130325171.0
2021-12-27,3.62,3.8,3.53,3.56,119079950.0
2021-12-28,3.54,3.63,3.43,3.44,94678871.0
2021-12-29,3.47,3.49,3.37,3.39,77408266.0
2021-12-30,3.39,3.62,3.35,3.5,118957003.0
2021-12-31,3.48,3.53,3.43,3.45,55816033.0
2022-01-04,3.72,3.8,3.69,3.8,233384931.0
2022-01-05,3.74,3.85,3.61,3.64,196404339.0
2022-01-06,3.64,3.76,3.63,3.63,99614306.0
2022-01-07,3.64,3.83,3.62,3.7,135773679.0
2022-01-10,3.67,3.77,3.6,3.68,76693153.0
2022-01-11,3.64,3.74,3.6,3.7,69866464.0
2022-01-12,3.69,3.71,3.58,3.64,65873874.0
2022-01-13,3.66,3.94,3.62,3.79,153762734.0
2022-01-14,3.72,3.73,3.52,3.53,109879172.0
2022-01-17,3.53,3.57,3.49,3.53,52255150.0
2022-01-18,3.52,3.75,3.47,3.7,113296250.0
2022-01-19,3.79,4.06,3.77,3.92,223347436.0
2022-01-20,3.88,3.91,3.72,3.73,126051037.0
2022-01-21,3.81,3.88,3.71,3.81,107755310.0
2022-01-24,3.76,3.85,3.61,3.77,73315446.0
2022-01-25,3.72,3.74,3.52,3.53,83970300.0
2022-01-26,3.53,3.64,3.52,3.59,54057880.0
2022-01-27,3.6,3.65,3.5,3.51,68691050.0
2022-01-28,3.48,3.54,3.35,3.45,57623173.0
2022-02-07,3.51,3.69,3.51,3.63,63013392.0
2022-02-08,3.75,3.81,3.66,3.8,97195759.0
2022-02-09,3.76,3.87,3.71,3.84,88900739.0
2022-02-10,3.78,3.87,3.72,3.87,65053438.0
2022-02-11,3.83,3.94,3.81,3.84,75222952.0
2022-02-14,3.83,3.9,3.79,3.82,51700783.0
2022-02-15,3.78,3.81,3.72,3.75,60996797.0
2022-02-16,3.76,3.8,3.71,3.75,48353989.0
2022-02-17,3.75,3.77,3.67,3.72,41272114.0
2022-02-18,3.7,3.99,3.69,3.93,122203236.0
2022-02-21,3.92,4.01,3.88,4.0,81988794.0
2022-02-22,3.95,4.09,3.86,3.95,77909803.0
2022-02-23,3.96,4.1,3.9,4.03,86622926.0
2022-02-24,3.96,4.01,3.81,3.87,72039870.0
2022-02-25,3.92,3.98,3.79,3.86,64284222.0
2022-02-28,3.84,3.92,3.83,3.9,50959414.0
2022-03-01,3.92,4.03,3.85,3.98,67928837.0
2022-03-02,4.0,4.03,3.93,3.96,80769028.0
2022-03-03,4.05,4.18,4.02,4.06,126864458.0
2022-03-04,4.06,4.16,3.92,4.05,112839570.0
2022-03-07,4.2,4.25,3.99,4.05,101447491.0
2022-03-08,3.99,4.03,3.82,3.86,74635477.0
2022-03-09,3.86,4.07,3.72,3.95,100404357.0
2022-03-10,3.92,4.1,3.8,4.03,97085168.0
2022-03-11,4.04,4.1,3.91,4.02,82651358.0
2022-03-14,3.98,4.08,3.88,3.9,79533547.0
2022-03-15,3.85,3.87,3.51,3.51,111961468.0
2022-03-16,3.58,3.63,3.39,3.59,73075206.0
2022-03-17,3.62,3.9,3.6,3.82,88187256.0
2022-03-18,3.8,4.01,3.79,3.99,80586130.0
2022-03-21,3.98,4.06,3.94,4.03,64857430.0
2022-03-22,4.05,4.15,4.02,4.13,70307777.0
2022-03-23,4.1,4.2,4.05,4.11,50369213.0
2022-03-24,4.11,4.18,4.07,4.08,54673662.0
2022-03-25,4.12,4.2,4.02,4.08,47110396.0
2022-03-28,4.07,4.11,4.02,4.07,56095072.0
2022-03-29,4.06,4.15,4.04,4.12,54821318.0
2022-03-30,4.1,4.14,4.0,4.07,49990248.0
2022-03-31,4.07,4.14,4.05,4.11,46049050.0
2022-04-01,4.1,4.17,4.04,4.1,53875039.0
2022-04-06,4.08,4.15,4.01,4.13,58362117.0
2022-04-07,4.08,4.1,3.98,4.01,61469847.0
2022-04-08,4.01,4.09,3.89,3.95,66276754.0
2022-04-11,3.9,3.9,3.9,3.9,0.0
2022-04-12,3.9,3.9,3.9,3.9,0.0
2022-04-13,3.9,3.9,3.9,3.9,0.0
2022-04-14,3.9,3.9,3.9,3.9,0.0
2022-04-15,3.9,3.9,3.9,3.9,0.0
2022-04-18,3.9,3.9,3.9,3.9,0.0
2022-04-19,3.9,3.9,3.9,3.9,0.0
2022-04-20,3.9,3.9,3.9,3.9,0.0
2022-04-21,3.9,3.9,3.9,3.9,0.0
2022-04-22,3.9,3.9,3.9,3.9,0.0
2022-04-25,4.29,4.29,3.51,3.51,213491709.0
2022-04-26,3.4,3.48,3.16,3.16,187312018.0
2022-04-27,3.17,3.48,3.14,3.48,148140571.0
2022-04-28,3.54,3.75,3.49,3.61,180634790.0
2022-04-29,3.63,3.75,3.57,3.72,133686994.0
2022-05-05,3.76,4.05,3.76,3.96,146279366.0
2022-05-06,3.83,4.1,3.77,3.99,142256715.0
2022-05-09,3.94,3.98,3.8,3.98,84405541.0
2022-05-10,3.99,4.0,3.82,3.97,80766707.0
2022-05-11,3.98,4.09,3.94,3.96,95965114.0
2022-05-12,3.96,4.16,3.95,4.0,96460235.0
2022-05-13,3.96,4.1,3.96,4.05,62035967.0
2022-05-16,4.07,4.18,4.01,4.15,90235743.0
2022-05-17,4.12,4.18,4.03,4.07,77785625.0
2022-05-18,4.03,4.11,4.01,4.06,55131501.0
2022-05-19,4.02,4.08,3.94,4.05,53724190.0
2022-05-20,4.09,4.37,4.09,4.27,125550035.0
2022-05-23,4.25,4.35,4.22,4.24,82883534.0
2022-05-24,4.23,4.31,4.08,4.09,83007795.0
2022-05-25,4.06,4.27,4.06,4.23,80681010.0
2022-05-26,4.25,4.41,4.21,4.37,105974742.0
2022-05-27,4.36,4.43,4.28,4.38,105285405.0
2022-05-30,4.4,4.42,4.25,4.31,67848331.0
2022-05-31,4.31,4.34,4.2,4.25,57987809.0
2022-06-01,4.26,4.3,4.18,4.3,69379573.0
2022-06-02,4.28,4.28,4.17,4.21,60819841.0
2022-06-06,4.24,4.33,4.22,4.29,80019847.0
2022-06-07,4.3,4.49,4.26,4.4,108496934.0
2022-06-08,4.39,4.7,4.39,4.65,167114896.0
2022-06-09,4.63,4.93,4.59,4.71,197869985.0
2022-06-10,4.68,5.03,4.66,4.93,191728934.0
2022-06-13,4.84,4.96,4.72,4.9,147969488.0
2022-06-14,4.83,4.96,4.78,4.91,114261507.0
2022-06-15,4.86,4.91,4.76,4.76,104006556.0
2022-06-16,4.77,4.83,4.46,4.52,143391598.0
2022-06-17,4.5,4.57,4.45,4.53,81077137.0
2022-06-20,4.46,4.46,4.23,4.31,88187524.0
2022-06-21,4.34,4.45,4.26,4.31,78886187.0
2022-06-22,4.33,4.37,4.19,4.2,63181017.0
2022-06-23,4.2,4.33,4.12,4.32,69149775.0
2022-06-24,4.28,4.39,4.25,4.3,56472662.0
2022-06-27,4.31,4.43,4.28,4.39,81669965.0
2022-06-28,4.42,4.48,4.37,4.42,72033423.0
2022-06-29,4.42,4.54,4.35,4.35,78785655.0
2022-06-30,4.33,4.39,4.29,4.31,47999858.0
2022-07-01,4.29,4.37,4.17,4.35,51836743.0
2022-07-04,4.33,4.4,4.29,4.32,49193182.0
2022-07-05,4.38,4.44,4.33,4.42,95745078.0
2022-07-06,4.35,4.35,4.12,4.17,100862544.0
2022-07-07,4.2,4.21,4.08,4.16,45437047.0
2022-07-08,4.19,4.22,4.07,4.08,49644493.0
2022-07-11,4.04,4.05,3.95,3.97,52304345.0
2022-07-12,3.99,4.02,3.96,3.98,40658909.0
2022-07-13,3.95,4.02,3.92,4.02,46176214.0
2022-07-14,4.01,4.05,3.95,3.99,42737599.0
2022-07-15,3.94,4.04,3.83,3.85,75757710.0
2022-07-18,3.85,4.02,3.85,4.01,66392286.0
2022-07-19,4.02,4.03,3.95,4.0,40730936.0
2022-07-20,3.99,4.0,3.94,3.97,38601800.0
2022-07-21,3.95,3.95,3.85,3.86,54078017.0
2022-07-22,3.85,3.89,3.8,3.83,35414554.0
2022-07-25,3.83,3.85,3.75,3.78,33541905.0
2022-07-26,3.81,3.85,3.73,3.84,39679585.0
2022-07-27,3.83,3.84,3.79,3.81,25400737.0
2022-07-28,3.88,3.89,3.8,3.86,49052483.0
2022-07-29,3.85,3.93,3.82,3.83,47361854.0
2022-08-01,3.82,3.87,3.78,3.85,46553097.0
2022-08-02,3.81,3.81,3.61,3.68,66440889.0
2022-08-03,3.66,3.76,3.58,3.58,48989077.0
2022-08-04,3.6,3.63,3.56,3.63,36891318.0
2022-08-05,3.65,3.66,3.58,3.64,37088897.0
2022-08-08,3.64,3.71,3.61,3.7,41132887.0
2022-08-09,3.7,3.93,3.67,3.9,84359274.0
2022-08-10,3.86,3.9,3.79,3.81,50647054.0
2022-08-11,3.82,3.85,3.8,3.83,35757800.0
2022-08-12,3.85,3.94,3.84,3.91,57625358.0
2022-08-15,3.92,4.0,3.91,3.98,56571740.0
2022-08-16,3.96,4.02,3.92,4.01,60682225.0
2022-08-17,4.04,4.09,4.0,4.01,53742167.0
2022-08-18,3.99,4.04,3.93,3.95,46355521.0
2022-08-19,3.98,4.08,3.96,4.04,61564253.0
2022-08-22,4.06,4.13,4.05,4.09,63746263.0
2022-08-23,4.17,4.31,4.13,4.25,125153755.0
2022-08-24,4.21,4.28,4.17,4.19,80329981.0
2022-08-25,4.22,4.37,4.16,4.31,134004440.0
2022-08-26,4.26,4.26,4.17,4.19,86971341.0
2022-08-29,4.12,4.33,4.08,4.29,85634686.0
2022-08-30,4.29,4.3,4.09,4.13,69346224.0
2022-08-31,4.11,4.12,3.88,3.9,86146472.0
2022-09-01,3.94,4.09,3.85,3.97,78196636.0
2022-09-02,3.99,4.02,3.88,3.89,69467873.0
2022-09-05,3.93,4.12,3.92,4.06,100579363.0
2022-09-06,4.09,4.16,4.01,4.13,89341291.0
2022-09-07,4.1,4.17,4.06,4.14,61564393.0
2022-09-08,4.11,4.11,4.0,4.04,56797592.0
2022-09-09,4.05,4.1,3.99,4.05,55551974.0
2022-09-13,4.06,4.09,3.95,3.97,62564428.0
2022-09-14,3.9,4.0,3.88,3.91,45965978.0
2022-09-15,3.95,4.04,3.81,3.9,68916838.0
2022-09-16,3.83,3.85,3.67,3.67,77143171.0
2022-09-19,3.75,3.83,3.69,3.71,56370479.0
2022-09-20,3.73,3.89,3.7,3.83,62007040.0
2022-09-21,3.8,3.87,3.75,3.86,49224900.0
2022-09-22,3.82,3.91,3.8,3.9,58484600.0
2022-09-23,3.89,3.92,3.8,3.81,54551915.0
2022-09-26,3.77,3.78,3.62,3.64,53596858.0
2022-09-27,3.65,3.69,3.51,3.61,53405884.0
2022-09-28,3.6,3.64,3.52,3.53,41650383.0
2022-09-29,3.57,3.63,3.53,3.55,58853908.0
2022-09-30,3.52,3.7,3.51,3.65,70383268.0
2022-10-10,3.7,3.75,3.61,3.65,56696222.0
2022-10-11,3.67,3.67,3.53,3.62,43021564.0
2022-10-12,3.59,3.64,3.53,3.64,47584826.0
2022-10-13,3.61,3.61,3.49,3.53,69806828.0
2022-10-14,3.55,3.59,3.53,3.58,59291599.0
2022-10-17,3.55,3.61,3.46,3.6,61748760.0
2022-10-18,3.58,3.63,3.55,3.58,46071418.0
2022-10-19,3.56,3.62,3.53,3.57,43812085.0
2022-10-20,3.54,3.55,3.47,3.48,48197328.0
2022-10-21,3.48,3.52,3.46,3.5,36060349.0
2022-10-24,3.51,3.52,3.38,3.39,37470829.0
2022-10-25,3.37,3.41,3.29,3.36,34457313.0
2022-10-26,3.36,3.39,3.33,3.35,30211251.0
2022-10-27,3.35,3.4,3.34,3.36,29658044.0
2022-10-28,3.35,3.38,3.26,3.28,39830566.0
2022-10-31,3.18,3.23,3.12,3.15,57289124.0
2022-11-01,3.14,3.21,3.12,3.2,40385692.0
2022-11-02,3.2,3.25,3.17,3.24,32655961.0
2022-11-03,3.21,3.23,3.19,3.2,22000450.0
2022-11-04,3.2,3.29,3.19,3.27,34098723.0
2022-11-07,3.28,3.34,3.26,3.32,43083477.0
2022-11-08,3.33,3.34,3.28,3.3,31258027.0
2022-11-09,3.31,3.33,3.29,3.31,25613935.0
2022-11-10,3.29,3.34,3.26,3.34,37465300.0
2022-11-11,3.4,3.42,3.35,3.39,48759629.0
2022-11-14,3.4,3.45,3.36,3.37,42212766.0
2022-11-15,3.36,3.39,3.34,3.38,24223804.0
2022-11-16,3.39,3.41,3.37,3.38,22287089.0
