date,open,high,low,close,volume
2021-11-16,4.74,4.75,4.65,4.65,15075300.0
2021-11-17,4.65,4.72,4.65,4.69,10510020.0
2021-11-18,4.74,4.95,4.74,4.91,38129129.0
2021-11-19,4.86,4.88,4.72,4.88,22843206.0
2021-11-22,4.92,4.92,4.82,4.85,17946620.0
2021-11-23,4.85,4.92,4.81,4.89,20389877.0
2021-11-24,4.89,4.93,4.85,4.92,22718981.0
2021-11-25,4.92,4.94,4.84,4.84,14971408.0
2021-11-26,4.8,4.81,4.75,4.76,14223209.0
2021-11-29,4.65,4.74,4.61,4.72,9752349.0
2021-11-30,4.72,4.8,4.72,4.76,11079361.0
2021-12-01,4.76,4.81,4.72,4.8,13829700.0
2021-12-02,4.8,4.86,4.76,4.76,11719221.0
2021-12-03,4.75,4.89,4.68,4.84,22735558.0
2021-12-06,4.84,4.89,4.8,4.83,21032621.0
2021-12-07,4.86,4.86,4.73,4.8,15456823.0
2021-12-08,4.82,4.84,4.76,4.8,10739007.0
2021-12-09,4.8,4.88,4.77,4.86,20858646.0
2021-12-10,4.87,4.89,4.81,4.84,14307580.0
2021-12-13,4.86,4.88,4.83,4.87,20208800.0
2021-12-14,4.9,4.9,4.8,4.82,15732300.0
2021-12-15,4.78,4.88,4.75,4.86,17663607.0
2021-12-16,4.87,5.33,4.86,5.25,74809768.0
2021-12-17,5.22,5.22,5.02,5.07,44770915.0
2021-12-20,5.11,5.12,4.92,4.95,26411900.0
2021-12-21,4.89,5.02,4.89,5.0,21195040.0
2021-12-22,4.99,5.03,4.93,4.95,18193433.0
2021-12-23,4.96,5.02,4.9,4.99,21500401.0
2021-12-24,4.99,4.99,4.85,4.89,19601020.0
2021-12-27,4.89,4.94,4.85,4.88,11762627.0
2021-12-28,4.88,4.89,4.76,4.81,13667921.0
2021-12-29,4.8,4.84,4.77,4.81,8426420.0
2021-12-30,4.79,4.82,4.77,4.78,11010880.0
2021-12-31,4.78,4.8,4.76,4.78,8694880.0
2022-01-04,5.0,5.25,4.99,5.05,57934661.0
2022-01-05,4.98,5.0,4.85,4.89,32308920.0
2022-01-06,4.88,4.91,4.82,4.88,17810443.0
2022-01-07,4.83,4.88,4.83,4.85,16332429.0
2022-01-10,4.85,4.86,4.78,4.85,15005075.0
2022-01-11,4.8,4.83,4.79,4.82,11743866.0
2022-01-12,4.81,4.82,4.78,4.81,11335982.0
2022-01-13,4.81,4.88,4.79,4.82,20851061.0
2022-01-14,4.8,4.8,4.7,4.72,17594100.0
2022-01-17,4.72,4.75,4.72,4.73,9062900.0
2022-01-18,4.73,4.75,4.67,4.73,12391233.0
2022-01-19,4.76,4.8,4.7,4.74,13911515.0
2022-01-20,4.71,4.71,4.65,4.65,12700920.0
2022-01-21,4.65,4.78,4.65,4.75,16989029.0
2022-01-24,4.7,4.7,4.61,4.62,12869529.0
2022-01-25,4.61,4.62,4.4,4.41,16321592.0
2022-01-26,4.41,4.45,4.25,4.32,9623060.0
2022-01-27,4.32,4.35,4.08,4.08,12393980.0
2022-01-28,4.08,4.12,3.9,4.09,14426024.0
2022-02-07,4.09,4.23,4.09,4.18,12564660.0
2022-02-08,4.28,4.34,4.23,4.33,17629220.0
2022-02-09,4.33,4.45,4.25,4.36,14555817.0
2022-02-10,4.32,4.4,4.27,4.39,11388020.0
2022-02-11,4.42,4.42,4.33,4.35,12699125.0
2022-02-14,4.35,4.36,4.24,4.27,9420620.0
2022-02-15,4.21,4.28,4.19,4.23,7993760.0
2022-02-16,4.22,4.28,4.2,4.27,7338380.0
2022-02-17,4.28,4.29,4.22,4.22,6821340.0
2022-02-18,4.21,4.36,4.19,4.35,18617117.0
2022-02-21,4.35,4.51,4.35,4.5,22001739.0
2022-02-22,4.51,4.52,4.37,4.45,16134660.0
2022-02-23,4.48,4.5,4.38,4.43,10160980.0
2022-02-24,4.41,4.45,4.26,4.32,15476221.0
2022-02-25,4.28,4.38,4.24,4.27,13155788.0
2022-02-28,4.26,4.33,4.22,4.29,10176260.0
2022-03-01,4.29,4.4,4.29,4.4,15632020.0
2022-03-02,4.44,4.5,4.42,4.46,17911500.0
2022-03-03,4.48,4.62,4.47,4.54,24708917.0
2022-03-04,4.54,4.64,4.41,4.5,22648620.0
2022-03-07,4.66,4.7,4.42,4.45,23210400.0
2022-03-08,4.41,4.48,4.22,4.26,18854794.0
2022-03-09,4.27,4.42,4.09,4.32,20078725.0
2022-03-10,4.33,4.41,4.21,4.34,15598400.0
2022-03-11,4.34,4.34,4.18,4.29,11697320.0
2022-03-14,4.29,4.33,4.12,4.14,14265260.0
2022-03-15,4.14,4.16,3.77,3.78,19838700.0
2022-03-16,3.88,3.91,3.64,3.86,15099943.0
2022-03-17,3.87,3.99,3.86,3.93,13034420.0
2022-03-18,3.94,4.32,3.93,4.32,26845941.0
2022-03-21,4.45,4.55,4.32,4.46,56214470.0
